id_produto,id_categoria,codigo_de_barra,nome,peso,unidade,preco
1,4,61439327210,Sabonete,"0,300",Pct,"R$ 0,70"
2,4,59865896022,Shampoo,"0,100",L,"R$ 10,00"
3,4,51029863009,Condicionador,"0,100",L,"R$ 10,00"
4,4,69248711762,Desodorante,"0,050",L,"R$ 4,00"
5,4,79542741480,Aerossol,"0,250",L,"R$ 13,00"
6,4,66681151082,Escova de Dentes,1,Pct,"R$ 1,50"
7,4,13524508017,Papel higiênico,1,Pct,"R$ 2,50"
8,4,16558853083,Pasta de Dentes,"0,100",Pct,"R$ 1,30"
9,4,73457609471,Sabonete Líquido,"0,500",L,"R$ 7,00"
10,4,69862308816,Colônia,"0,300",L,"R$ 9,00"
